"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
3.95082327368106e-15,3.45268587263102,0.627,0.213,1.52525483303731e-10,"1","TUBA4A"
1.69809843685229e-12,4.78986246260328,0.307,0.034,6.55567882531196e-08,"1","CD8A"
4.36047141981063e-11,2.85320308210259,0.76,0.477,1.68340359633209e-06,"1","SH3BGRL3"
6.1080968569739e-10,2.88918454495729,0.96,0.762,2.35809187260335e-05,"1","ACTB"
2.28604111919374e-09,2.86263948167866,0.427,0.128,8.82549034475935e-05,"1","ZYX"
2.76011813921406e-08,3.09232814263091,0.253,0.043,0.00106557120882498,"1","F2R"
3.317596530075e-08,2.76851426734736,0.253,0.043,0.00128079131640075,"1","CXCR3"
4.03034728525109e-08,3.79243292641198,0.64,0.332,0.00155595587294404,"1","OAZ1"
9.76224459284377e-08,2.84793917723288,0.333,0.089,0.00376881214751326,"1","CST7"
1.1631396492192e-06,4.13227513826345,0.253,0.06,0.0449041692977563,"1","TIMP1"
1.07431355937689e-05,2.8048445386954,0.253,0.072,0.414749492733044,"1","GLUL"
1.08931265455748e-05,3.26686452354129,0.267,0.077,0.420540043418461,"1","CDKN1A"
1.73319961475703e-05,3.3016576199798,0.28,0.094,0.669119043273101,"1","CORO1C"
2.79420748599725e-05,4.53317093193551,0.387,0.174,1,"1","NCOA4"
7.66987212338417e-05,2.97692184600147,0.267,0.098,1,"1","IER5L"
0.000122155971705629,4.1293439466679,0.533,0.315,1,"1","TLN1"
0.000229038462607223,2.94689962113189,0.413,0.226,1,"1","H2AC6"
0.00146245451720577,3.57908151740839,0.307,0.157,1,"1","CALM3"
0.00852658303123396,3.10310300236514,0.253,0.14,1,"1","SNN"
4.45154791242767e-20,2.44896863370551,0.831,0.263,1.71856458707183e-15,"2","GIMAP7"
1.376783591891e-19,2.33970127796156,0.847,0.315,5.31521073485439e-15,"2","LDHB"
6.24485244897948e-17,2.70239059879879,0.61,0.12,2.41088773645302e-12,"2","MAL"
1.23635473124872e-14,2.08207456281634,0.746,0.227,4.7730710754588e-10,"2","SNHG8"
7.00289051711578e-14,2.28312213463586,0.576,0.127,2.70353591303772e-09,"2","ID3"
3.96961267655955e-13,3.23261197671895,0.39,0.052,1.53250866991258e-08,"2","GIMAP1"
3.7002378098e-11,2.40283104775922,0.458,0.096,1.42851380885139e-06,"2","ENSG00000268027"
1.83012903849177e-10,2.02618625907164,0.525,0.139,7.06539616600131e-06,"2","DCTN6-DT"
2.62832479313194e-10,3.054979899236,0.322,0.048,1.01469106963652e-05,"2","EPHB6"
3.76578228888676e-10,2.91473130912966,0.322,0.048,1.45381791044762e-05,"2","CHRM3-AS2"
2.76157385421858e-09,2.24369304034823,0.39,0.084,0.000106613320215963,"2","CD27"
4.56699045111582e-08,2.2635901450873,0.305,0.056,0.00176313233355777,"2","ANXA2R"
1.03507671710161e-07,2.06501588320304,0.339,0.076,0.00399601717404249,"2","SELENOM"
1.26781685775628e-07,2.4271048947891,0.271,0.048,0.00489453376105388,"2","FAM200B"
1.3791643181732e-07,2.15714220791271,0.254,0.04,0.00532440176673944,"2","LRRN3"
4.36407281760764e-07,2.01665237388402,0.39,0.116,0.0168479395196561,"2","PRKCQ-AS1"
1.88252296509845e-06,2.28900754989972,0.254,0.052,0.0726766815905907,"2","NUCB1"
2.99110024552663e-06,2.0812277197381,0.339,0.1,0.115474416078801,"2","MPC2"
7.8827142194271e-06,1.98128909195984,0.254,0.06,0.304320065155202,"2","PEX16"
8.99486836792204e-06,2.08344873969402,0.254,0.06,0.347255888211998,"2","DPH5"
5.09710330211012e-47,6.61452978720536,0.775,0.011,1.96778770081263e-42,"3","IL18RAP"
2.30607561222279e-41,5.89146242503432,0.675,0.007,8.9028355085473e-37,"3","GPR141"
2.10456777589222e-37,6.53777312231932,0.65,0.015,8.12489435560952e-33,"3","KLRF1"
2.04715697764078e-31,9.41582577347852,0.475,0,7.90325422787999e-27,"3","BNC2"
9.32451080372111e-30,10.1125173580336,0.45,0,3.59982064088457e-25,"3","NCAM1"
5.40806165905856e-28,7.22440491810114,0.45,0.004,2.08783628409615e-23,"3","CD244"
1.80681391297394e-26,8.30933072935495,0.4,0,6.97538579242718e-22,"3","SH2D1B"
1.80681391297394e-26,10.6189395786477,0.4,0,6.97538579242718e-22,"3","LINGO2"
